,F1 Score,Recall,Precision,PR AUC
Naive Bayes Baseline,,0.0,,0.16459404191710594
Random Forest Baseline,0.16091954022988506,0.09695290858725762,0.47297297297297297,0.3006139364077817
Decision Tree Baseline,0.27950310559006214,0.24930747922437674,0.31802120141342755,0.12315477706161583
Logistic Regression Baseline,0.1776765375854214,0.10803324099722991,0.5,0.3511950064299681
Naive Bayes RUS,0.25096030729833546,0.814404432132964,0.14833501513622604,0.3219111089401871
Random Forest RUS,0.3440308087291399,0.7423822714681441,0.22389306599832914,0.32341145134668126
Logistic Regression RUS,0.3345588235294118,0.7562326869806094,0.2147915027537372,0.32945320639274756
Naive Bayes CNN,0.11066707654472795,0.997229916897507,0.05858421480878763,0.19812170116908107
Random Forest CNN,0.16555555555555557,0.8254847645429363,0.09200370484717506,0.22667974581330377
Logistic Regression CNN,0.14179719703215168,0.9529085872576177,0.07659763972389223,0.25267288719170083
Naive Bayes SMOTE-ENN,0.3914209115281501,0.6398891966759003,0.1848,0.28254358699751664
Random Forest SMOTE-ENN,0.28677839851024206,0.40443213296398894,0.37922077922077924,0.2963052627749271
Logistic Regression SMOTE-ENN,0.28677839851024206,0.6398891966759003,0.1848,0.3111797204848828
